1|MILK DELIVERY MOBILE APP — DETAILED FEATURE SPECIFICATION|||||||||||||||||||||||||
2|Platform: Android + iOS  |  Scope: B2C Consumer App (with hooks for B2B & Inventory)  |  Business: Online Milk & Dairy Trading|||||||||||||||||||||||||
4|#|Feature (High-Level)|Module / Screen|Detailed Description & Functional Requirements|Key Dependencies / Integrations|Priority||||||||||||||||||||
5|1.0|User Registration|Onboarding / Sign-Up|Allow new customers to create an account via mobile number + OTP verification (primary), with optional email/social (Google/Apple) sign-up. Capture name, delivery address (with geo-pin/map picker), pincode serviceability check, and preferred delivery time slot. Support multiple saved addresses. Consent for T&C, privacy policy, and notifications. Auto-create a linked Wallet on registration.|OTP/SMS API, Maps/Geocoding, Serviceability (Inventory zones), Wallet service|Must-Have||||||||||||||||||||
6|2.0|User Login|Authentication|Secure login via mobile number + OTP or password; social login options. 'Remember me' with token/JWT-based session, biometric login (fingerprint/Face ID), forgot-password/OTP re-verification, and secure logout. Session timeout and multi-device handling. Role awareness (B2C vs B2B account).|OTP/SMS API, Auth server (JWT), Biometric SDK|Must-Have||||||||||||||||||||
7|3.0|Product Listing (Inventory-driven)|Catalog / Home|Display products (milk variants, curd, paneer, ghee, etc.) grouped by category with images, price, unit (ltr/gm), description, and real-time stock/availability pulled from the Inventory Module. Show 'Out of Stock' / 'Available from <date>' states, search, filters (category, price, veg/organic), and sort. Highlight subscription-eligible items.|Inventory Module (live stock), CDN for images, Search service|Must-Have||||||||||||||||||||
8|4.0|Add to Cart|Cart|Add/remove items, adjust quantities with min/max validation against stock, view running subtotal, applicable taxes and delivery charge preview. Persist cart across sessions and devices. Distinguish one-time order items vs subscription items. Show savings from offers/coupons applied. Empty-cart and re-order-from-history shortcuts.|Inventory (stock check), Pricing/Tax engine, Offers module|Must-Have||||||||||||||||||||
9|5.0|Payment Gateway Integration|Checkout / Payments|Integrate Razorpay/Paytm supporting UPI, cards, net-banking, and Wallet. Support wallet-first + gateway top-up for balance shortfall. Handle payment success/failure/pending callbacks, retries, and idempotency to avoid double charges. PCI-DSS compliant tokenization for saved cards. Generate payment reference for reconciliation.|Payment Gateway (Razorpay/Paytm), Wallet, Accounting/Reconciliation|Must-Have||||||||||||||||||||
10|6.0|Subscription Module (Start / Stop / Pause)|Subscriptions|Create recurring milk/dairy subscriptions with product, quantity, frequency (daily/alternate/weekly/custom days), start date, and preferred slot. Actions: Start (activate), Pause (vacation hold with date range), Resume, Stop/Cancel. Auto-generate daily orders, auto-debit from Wallet, low-balance alerts, and skip-a-day option. Edit quantity/schedule with cut-off time enforcement.|Wallet (auto-debit), Inventory, Notifications, Calendar, Order engine|Must-Have||||||||||||||||||||
11|7.0|Order History|Account / Orders|Chronological list of all past and upcoming orders (one-time + subscription-generated) with date, items, amount, status, and delivery slot. Filters by date range, status, and type. Tap into full order detail, re-order, download invoice, and raise feedback/complaint from any order.|Order engine, Invoice service|Must-Have||||||||||||||||||||
12|8.0|Transaction History|Wallet / Payments|Ledger of all financial transactions: wallet recharges, order debits, refunds, cashbacks, referral credits, and offer adjustments. Show running balance, transaction type, timestamp, reference ID, and status. Filter/search and export/share statement. Reconcile with payment gateway records.|Wallet, Payment Gateway, Accounting|Must-Have||||||||||||||||||||
13|9.0|Feedback (Delivery / Product Quality)|Feedback / Ratings|Allow rating (1-5 stars) and comments on delivery experience and product quality per order/delivery. Predefined issue tags (late delivery, spillage, quality, packaging), photo upload for complaints, and resolution tracking. Feed into quality dashboards and delivery-staff performance.|Order engine, Media upload, CRM/Support|Should-Have||||||||||||||||||||
14|10.0|Offers|Promotions|Show active offers, coupons, and promo codes with T&C, validity, and eligibility. Auto-apply best offer or manual code entry at checkout with real-time validation. Support percentage/flat/BOGO/first-order/subscription-specific offers and festive campaigns. Personalized offer banners on home.|Pricing/Offers engine, Notifications, CRM|Should-Have||||||||||||||||||||
